"","id-est","sexo","altura","peso"
"1",107120,"M",158,54
"2",107115,"F",159,58
"3",107065,"M",169,61
"4",107125,"M",163,63
"5",107075,"F",160,63
"6",107030,"M",166,64
"7",107060,"F",168,62
"8",107040,"M",162,66
"9",107135,"M",164,68
"10",107130,"F",168,67
"11",107070,"M",166,68
"12",107045,"F",164,69
"13",107140,"M",161,69
"14",107055,"F",173,70
"15",107035,"M",162,70
"16",107050,"F",171,71
"17",107080,"F",170,73
"18",107100,"F",168,72
"19",107105,"M",177,74
"20",107145,"F",170,73
"21",107090,"F",178,74
"22",107110,"F",172,73
"23",107085,"M",172,76
"24",107095,"F",170,74
"25",107098,"M",150,50
