"","id-est","calificacion","creditos"
"1",107030,92,3
"2",107030,87,2
"3",107030,95,1
"4",107035,74,1
"5",107035,89,2
"6",107040,100,3
"7",107040,90,3
"8",107040,95,1
"9",107045,85,3
"10",107045,93,1
"11",107050,95,3
"12",107050,85,2
"13",107050,100,1
"14",107055,82,3
"15",107055,85,1
"16",107060,100,3
"17",107060,90,1
"18",107060,94,3
"19",107065,93,3
"20",107065,98,1
"21",107070,80,3
"22",107070,85,3
"23",107070,90,1
"24",107075,98,3
"25",107075,85,1
"26",107080,88,3
"27",107080,90,1
"28",107085,100,3
"29",107085,90,3
"30",107085,85,1
"31",107090,100,3
"32",107090,92,1
"33",107095,92,3
"34",107095,91,1
"35",107098,95,3
"36",107098,93,2
"37",107098,90,1
"38",107100,84,3
"39",107100,80,1
"40",107105,85,3
"41",107105,87,1
"42",107110,94,3
"43",107110,90,1
"44",107115,80,3
"45",107120,86,3
"46",107120,92,1
"47",107125,91,3
"48",107125,94,1
"49",107130,96,3
"50",107130,92,1
"51",107135,80,3
"52",107135,70,1
"53",107135,80,3
"54",107140,80,3
"55",107140,70,1
"56",107145,90,3
"57",107145,95,2
"58",107145,80,1
